resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
VORTEX_ESR1,VORT_ALL_RN,121.8,QENEL8,Enel North America,121.8,Azure Sky Wind,121.8,1.48,660295.3354166665,333142.67316526663,0.0,2387.6166488353665,9027.00648286494,183272.1396963663,27328.701700289705,198543.03968682414,1413996.5127971137,33,103.01692813880284
SGAL_BES_ESR2,SG_BES_BESS1,100.0,QJPEM2,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,0.0,1217041.2292126915,0.0,5211.59045406634,6084.844456049725,48191.103172838426,24147.596884702718,100207.24939050147,1400883.6135708503,34,66.73646441699256
JAR_ESR2,JAR_RN,156.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,671067.41525,248389.5908492083,0.0,1085.1011474837128,1122.9256733930977,274207.25831706583,74213.60056080048,105628.6498978026,1375714.541695754,35,114.2834311120789
FIVEWSLR_ESR1,FIVEWSLR_ALL,220.0,QSUE61,Key Capture Energy,199.7,Five Wells BESS,199.7,1.0,184666.09716666667,270220.60778022493,0.0,161690.38545586867,36370.25450208749,342917.86753232183,272704.97944388253,96312.13590457733,1364882.3277856298,36,94.04182164123534
PALE_ESS_ESR1,PALE_ESS_EN,200.0,QSUE74,ENGIE,200.8,Paleo BESS,200.8,1.06,538917.7913333334,72058.98764181667,0.0,80817.77544796494,36298.59772746488,389145.27898000844,152882.48017306067,85051.06876447692,1355171.9800681258,37,77.65599724474458
SGAL_BES_ESR1,SG_BES_BESS1,98.1,QJPEM,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,0.0,1158670.8983851832,0.0,5253.274751453125,6944.205096855597,48725.29033470706,24081.0201256282,98109.7883849751,1341784.4770788027,38,59.65400010736212
RRC_WIND_ESR1,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,3.0,596598.6476666667,743553.2762292,0.0,0.0,0.0,0.0,0.0,0.0,1340151.9238958666,39,93.099240464628
BLACKSPR_ESR1,BLACKSPR_RN,120.0,QBROOK,YBLKSP,,,120.0,2.32,963168.7759999998,311106.23255385825,0.0,10306.260867270328,3978.7007241886863,0.0,3986.789305683752,23394.054999766824,1315940.8144507678,40,70.92246956794483
JAR_ESR1,JAR_RN,147.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,644948.8901666666,214867.717377125,0.0,1249.8858779926172,1476.4398584376092,260053.72458670917,71090.54744593655,98428.78754578166,1292115.992858649,41,105.84639539943817
BYP_ESR1,BYP_RN,200.0,QEXELO,YEXELO,,,200.0,2.25,-8133.507,1253525.0690447998,0.0,0.0,0.0,438.236,1141.9864379652777,42440.74778491667,1289412.5322676816,42,13.884753313952723
