rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
134,ANCHOR_ESR1,111526.34,59315.08658333334,0.0,66.75979702252695,259.7924730500924,76308.83711200519,27439.881129903253,53733.61511699594,328650.3122123104,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,Anchor BESS 1,35.75,1.58,17.290449208217744
135,RPUBRDS_ESR1,-20439.395,278782.5557700583,0.0,0.0001059244244266,0.0001553688007065,8092.033067354814,10388.260097270106,20651.587754596745,297475.0419505732,RPUBRDS_RN,39.5,QSHEL2,Key Capture Energy,50.0,Republic Road,50.0,1.98,26.563361968944367
136,SUNVASLR_ESR2,40433.56799999999,78513.67564802499,0.0,31389.920365615217,13833.553410390543,76727.31440883815,56147.22250269949,0.0,297045.25433556834,SUNVASLR_ALL,46.0,QSUE38,ENGIE,50.7,Sun Valley Bess 1,50.7,0.99,46.374408223022456
137,TORT_ESS_ESR1,125622.96566666667,-67339.33593149166,0.0,36860.66776549863,10959.064139587454,137415.0816917371,30746.330913520942,16670.096241020456,290934.8704865396,TORT_ESS_RN,50.0,QSUE74,YSUEZ,,,50.0,0.8,70.19432561248728
138,INRT_W_ESR1,98615.78749999999,163273.14699416663,0.0,0.0,0.0,0.0,0.0,0.0,261888.93449416666,INRT_W_ALL,13.0,QFPL32,NextEra Energy Resources,13.0,Inertia BESS,13.0,3.8,64.02941835945414
139,NCO_ESR1,-25637.8405,240734.6687412833,0.0,0.0001496693223858,0.0001553688007065,8073.448871043194,9554.566704063567,21191.36143295974,253916.205554388,NCO_RN,38.8,QSHEL2,Key Capture Energy,50.0,North Columbia,50.0,1.96,29.539685463842478
140,ADL_ESR1,98112.17916666665,83060.96573333333,0.0,10879.442266986112,209.0944114027779,37188.62629092853,6843.733351015696,11748.215195448453,248042.2564157816,ADL_RN,60.0,QTEN26,YLIB1S,,,60.0,1.08,55.27754609818837
141,PALACIOS_ESR1,257659.4021666666,-21545.794119775,0.0,0.0,0.0,2093.9592176586775,4420.679673811245,0.0,242628.2469383616,PALACIOS_RN,9.9,QTEN30,REX Storage Holdings,9.9,Regis Palacios BESS,9.9,1.0,40.765132692213726
142,SLCNHLS_ESR2,3265.454333333333,192036.09856071664,0.0,0.000145060325846,0.000163659458146,6450.209891483074,8196.138695290869,21554.044534036246,231501.94632357993,SLCN_ESS_ALL,47.9,QSHEL2,Key Capture Energy,50.0,Silicon Hill 1,50.0,1.98,26.72211740718336
143,HI_LONEB_ESR1,59579.74683333334,141015.11025914166,0.0,458.6139433666996,0.0,5539.512607886639,17769.13467617378,0.0,224362.1183199021,HI_LONEB_RN1,50.0,QENEL1,YENELT,,,50.0,1.33,55.17924769988218
144,SLCNHLS_ESR1,14032.801333333333,172318.68021943333,0.0,0.000145060325846,0.000163659458146,6772.367858683287,7804.397924896358,20961.808685368655,221890.05633043472,SLCN_ESS_ALL,50.0,QSHEL2,Key Capture Energy,50.0,Silicon Hill 1,50.0,1.98,26.031315077883534
145,QUEEN_BA_ESR1,54910.48341666666,102777.60494400833,0.0,570.7781013378944,0.0,6289.944089406697,22159.459054230338,0.0,186708.2696056499,QUEEN_BA_RN,50.0,QENEL2,YENELT,,,50.0,0.96,46.223477538554306
146,JUNORTH_ESR1,56724.85083333333,110195.25088884169,0.0,2459.5589556108985,881.3369837435938,1478.1818033891545,429.71523752079696,6269.614803360864,178438.5095058003,JUNORTH_RN,9.9,QTEN26,Adapture Renewables,9.9,Junction North BESS,9.9,1.62,15.118585725243406
147,JUNCTION_ESR1,16421.06883333333,114272.87070833334,0.0,0.0001496832112747,439.6166681405577,12466.59753672404,12420.744562175594,8601.322975381021,164622.2214337711,JUNCTION_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Junction (DGR),9.9,1.0,56.566863025987296
148,PYR_ESR3,0.0,87055.03007639998,0.0,0.0,0.0,76218.48798867794,0.0,0.0,163273.51806507792,PYR_PYRON1,15.1,QECNR,RWE,13.3,Pyron,13.3,1.0,49.81699634488847
149,SPTX12B_ESR1,6262.573833333332,114821.30440887497,0.0,31.210821696040586,29.6156468765001,19986.592116005027,10333.300885246417,3521.9716195719448,154986.56933160423,SPTX12B_RN,24.9,QEDIS9,Ormat,25.1,SP TX-12B,25.1,1.0,58.71544413959464
150,CNTRY_ESR1,104225.3490833333,20149.031056283333,0.0,559.2286709895924,915.292490673689,13601.559814124827,7444.796094631982,7504.222653754644,154399.4798637914,CNTRY_RN,9.8,QPROLO,Prologis,9.9,Century BESS,9.9,1.92,67.59752462863524
151,RUSSEKST_ESR1,9473.222166666668,110542.74646666665,0.0,0.0001496832112747,468.38325400245895,12744.55156261951,12562.136447439414,8402.148155162791,154193.18820224074,RUSSEKST_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Russek Street BESS,9.9,1.09,60.3056665362399
152,PYR_ESR2,0.0,68986.849456125,0.0,0.0,0.0,85181.18157337497,0.0,0.0,154168.03102949995,PYR_PYRON1,15.1,QECNR,RWE,13.3,Pyron,13.3,1.0,53.35242497221856
153,ELM_ST_ESR2,0.0,147402.5461195667,0.0,1167.5104001784157,2064.4298902097808,0.0,215.9742611303008,2284.89233573148,153135.35300681664,ELM_ST_RN2,9.9,QSYSO,YNPCEC,,,9.9,1.82,77.82640940805491
154,TNFS_ESR1,-49.69799999999999,133924.03450945832,0.0,1351.4240395419358,2424.6761735768987,0.0,151.8229263049392,2151.745314036584,139954.0049629187,TNFS_RN,9.9,QSYSO,YFTSCE,,,9.9,1.82,68.59450178427636
155,FLAT_TOP_ESR2,0.0,113810.06976669165,0.0,872.5391150188248,2287.1347265051895,5449.385796840965,6041.198986923088,9414.456411547557,137874.7848035273,FLVABES1_ESR,9.9,QJPEM,YFLOWE,,,9.9,1.7,70.3812933541135
156,TV_ESR1,61452.78083333334,8456.631256191664,0.0,8768.262801738474,12309.546797543115,5435.728811617317,3820.240028320235,37236.741436716096,137479.93196546024,TV_RN,9.8,QAETE1,Agilitas Energy,9.9,Telview BESS,9.9,2.12,82.8035429616865
157,ALAMO_ST_ESR1,-1.188,125170.629306925,0.0,1022.0330502497685,1952.6628579410665,0.0,188.33689950928664,2243.3480229735455,130575.82213759865,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,9.9,1.93,72.29983305722983
158,CR_ESR1,75492.20458333332,17060.69464173333,0.0,1079.4477538107894,832.7190913058942,15207.003763108343,7400.766774955243,9941.746016455643,127014.58262470257,CR_RN,9.8,QPROLO,Prologis,9.9,Crockett BESS 1,9.9,2.02,73.4519501808644
159,OLNEYTN_ESR1,11128.305833333334,81912.64730833333,0.0,0.0001496832112747,447.0943894754484,12821.274994169677,11985.062862746117,7799.243178781286,126093.6287165224,OLNEYTN_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Olney (DGR),9.9,1.0,47.16705601299319
160,SWTWR_ESR1,0.0,67035.9543975,0.0,135.857630170468,209.37073040020903,7.322448979591838e-05,10076.001582903957,44162.32086017322,121619.50527437234,SWT_BESS_RN,9.9,QTEN26,YSWTWA,,,9.9,2.34,63.43817096940336
