rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,theoretical_rev_total,optimization_rate
267,PRTLAVS_ESR1,0.0,250.81261376666666,0.0,0.0,0.0,2552.558062130616,0.0,0.0,2803.3706758972826,PTLBES_BESS1,6.0,QSTEC3,Key Capture Energy,9.9,Port Lavaca (DGR),9.9,1.2,80685.92166235726,3.5
268,GZ_ESR2,0.0,1166.2058105999997,0.0,0.0,0.0,0.0,0.0,0.0,1166.2058105999997,GZ_RN,9.9,QPROLO,YESTH7,,,9.9,2.13,50843.67158454159,2.3
269,CARA_ESS_ESR1,0.0,1054.3709766666666,0.0,0.0,0.0,0.0,0.0,0.0,1054.3709766666666,CARA_ESS_RN,98.3,QHEI8,YHEI8,,,98.3,1.42,212033.53023230913,0.5
270,ELMCRK_ESR1,0.0,432.99937705833327,0.0,0.0,0.0,0.0,0.0,0.0,432.99937705833327,ELMCRK_RN,9.9,QMP2M1,YDGSP2,,,9.9,2.64,10073.004863560678,4.3
271,UTOPIA_ESR1,0.0,225.48268768333332,0.0,0.0,0.0,0.0,0.0,0.0,225.48268768333332,UTOPIA_RN,9.9,QTEN30,YREGUT,,,9.9,0.4,20964.636812849556,1.1
272,QTUM_SLR_ESR2,0.0,128.78570833333333,0.0,0.0,0.0,0.0,0.0,0.0,128.78570833333333,RN_QTUM_SLR,0.0,QTEN33,YIPQB2,,,0.0,1.42,0.0,inf
273,GODY_SLR_ESR1,0.0,81.70145548333332,0.0,0.0,0.0,0.0,0.0,0.0,81.70145548333332,GODY_SLR_RN,18.0,QTEN26,YMRGS,,,18.0,1.42,3991.788046102936,2.0
274,QTUM_SLR_ESR1,0.0,17.518958333333334,0.0,0.0,0.0,0.0,0.0,0.0,17.518958333333334,RN_QTUM_SLR,0.0,QTEN33,YIPQB2,,,0.0,1.42,0.0,inf
275,ELM_ST_ESR1,0.0,14.385468241666665,0.0,0.0,0.0,0.0,0.0,0.0,14.385468241666665,ELM_ST_RN,0.0,QTEN26,YELMST,,,0.0,1.42,0.0,inf
276,APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,0.0,1.42,0.0,
