DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR 
02/10/2026 19:00:00,51803.830017,40469.9605,12106.9,11742.2,90.6,52274.49,12410.25,,19,02/10/2026,WDPEAK,FEBRUARY,2026
02/10/2026 20:00:00,52411.428223,40185.8402,12248.3,11900.7,0,52150.91,10490.98,,20,02/10/2026,WDPEAK,FEBRUARY,2026
02/10/2026 21:00:00,51466.182617,39605.9606,11880.8,11538.4,0,51313.56,9724.13,,21,02/10/2026,WDPEAK,FEBRUARY,2026
02/10/2026 22:00:00,50008.373047,38411.0293,11251,10926.2,0,49984.14,9646.09,,22,02/10/2026,WDPEAK,FEBRUARY,2026
02/10/2026 23:00:00,47937.240234,36581.2795,10710.3,10358.7,0,47644.62,9432.58,,23,02/10/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 00:00:00,45654.153625,34586.1853,10373.8,10018.9,0,45479.49,9695.05,,24,02/10/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 01:00:00,43675.869568,31515.2488,10897,10563,0,43748.85,9079.42,,1,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 02:00:00,42693.990112,30242.0179,10775.8,10413.3,0,42610.34,9487.78,,2,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 03:00:00,41925.119995,29625.3399,10653.7,10277.2,0,41917.53,9457.35,,3,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 04:00:00,41985.569824,29827.6722,10266.8,9916.2,0,41762.97,9952.07,,4,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 05:00:00,42559.610718,31126.4535,9696.9,9384.3,0,42740.63,9313.52,,5,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 06:00:00,44533.4104,34664.6579,8971.9,8655.6,0,44639.42,8129.68,,6,02/11/2026,OFFPEAK,FEBRUARY,2026
02/11/2026 07:00:00,47901.000122,39523.3029,7797.1,7533.9,0,47946.87,6995.03,,7,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 08:00:00,49822.539429,41668.19,6481.7,6270.7,859.3,49534.3,5407.78,,8,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 09:00:00,50114.939575,34684.5799,4829.1,4669.4,9572.1,49796.94,2928.45,,9,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 10:00:00,50306.140564,27363.3502,2990.6,2870.7,19069.4,49738.1,1118.25,,10,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 11:00:00,50145.49939,25422.4308,2166.3,2079.1,21606.3,49338.6,779.97,,11,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 12:00:00,49615.979736,24721.5329,1864,1799.5,22400.1,49090.46,988.29,,12,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 13:00:00,49289.480225,23865.373,1758.3,1701.9,23156.1,49029.38,1464.25,,13,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 14:00:00,49652.430054,23532.3244,1921.5,1848.6,23241.1,49225.95,1385.49,,14,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 15:00:00,49891.950378,23092.9474,2327.6,2262.2,23257.2,49820.84,1511.31,,15,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 16:00:00,50480.310181,22216.4436,2895,2837.3,23689,50425.37,2109.2,,16,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 17:00:00,50827.630371,26313.2155,3550.4,3482,19530.1,51225.95,2671.39,,17,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 18:00:00,51408.020752,39369.2267,4309.8,4209,6332.4,51628.93,3299.45,,18,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 19:00:00,51705.519287,44859.1776,5677,5508.5,160.7,52269.09,4052.9,,19,02/11/2026,WDPEAK,FEBRUARY,2026
02/11/2026 20:00:00,51887.00946,43153.7859,7447,7181.3,0,52313.75,4885.8,,20,02/11/2026,WDPEAK,FEBRUARY,2026
