rank,node,net_revenue,offer_revenue,bid_revenue,avg_win_rate,avg_profit_loss,avg_dart_spread,avg_participation,total_offered_mw,total_bid_mw,days_active,hsl
97,CARRIZO_ESR1,907.3597499999978,-15537.749000000005,16445.10875,30.43617021276596,19.046666666666667,0.6682242988544149,44.1645390070922,13432.9,-1138.2,141,9.8
98,ESTONIAN_ALL,890.6565000000004,2108.7865,-1218.1299999999999,32.241134751773046,11.627375886524822,0.4778302060753418,0.9411347517730496,1951.0,-1308.8,141,101.6
99,TORT_ESS_RN,877.3322499999998,-257.2042499999999,1134.5365,29.304098360655736,24.880409836065574,-0.5817394081897157,0.5262295081967213,280.1,-501.5,122,48.0
100,ANDMDSLR_ALL,863.1945300000006,7042.214030000001,-6179.019499999999,33.746153846153845,9.184965034965035,0.6764070488457236,3.645454545454545,7688.5,-2569.7,143,81.9
101,NCO_RN,824.0245000000002,797.4447500000001,26.579750000000004,23.934745762711866,15.681525423728813,-1.3748509284816435,1.221186440677966,1083.5,-253.8,118,38.8
102,CARN_ESS_RN,705.02,2382.01625,-1676.9962500000001,30.319148936170212,4.705531914893617,0.2148160969379417,1.553191489361702,3083.4,-4723.9,141,150.0
103,CEDRVALE_RN,703.0665,529.63175,173.43475,33.69057971014493,19.317246376811593,0.022697961408558974,3.1442028985507244,168.3,-838.8000000000001,138,8.2
104,COYOTSPR_RN,691.1609999999998,1670.9904999999999,-979.8295,29.361654135338345,21.344436090225564,0.4379183865178999,5.601503759398496,957.9,-803.9000000000001,133,9.9
105,CACH_ESS_RN,681.6949999999998,1072.4325,-390.7375,30.86165413533835,17.006842105263157,0.4035348595035656,0.4909774436090225,3131.0,-101.3,133,200.0
106,LOWR_ESS_RN,680.096,-513.1315000000001,1193.2275,24.727131782945737,11.655348837209303,0.06097426585832921,2.36046511627907,435.3,-3961.0,129,60.0
107,CNTYRDS_RN,664.9555000000006,-102.421,767.3765000000003,16.572619047619046,3.5333333333333337,0.009648313492063507,0.0,176.6,-12890.199999999999,84,0.0
108,TSECA_ES_RN,586.9259999999994,1386.1937499999997,-799.2677500000003,20.151162790697676,13.667286821705426,1.3977840805834991,0.38992248062015505,593.2,-508.3,129,100.0
109,PIN_BESS_RN,584.89,467.5424999999999,117.34750000000008,15.568674698795181,6.585662650602409,0.1344770493036572,0.0,1547.8,-6546.400000000001,83,0.0
110,FRMR_BS2_RN1,576.1847499999998,-147.46225000000004,723.6469999999999,33.62824427480916,23.162595419847325,-0.13070007944769377,1.384732824427481,135.9,-295.3,131,9.9
111,ARY_BESS_RN,557.1655,445.1475,112.018,2.601470588235294,1.493235294117647,-0.07557576155462181,0.0,41.0,-1770.0,68,0.0
112,LMO_ESR_RN,555.33775,-956.46,1511.7977500000002,33.31319444444445,16.080555555555556,0.19075585906184805,0.6048611111111112,298.3,-1771.0,144,100.0
113,BAYC_BESS_RN,538.7002500000001,719.7835,-181.08324999999996,18.064028776978418,9.23705035971223,0.27387249333173264,19.536690647482015,6130.6,-292.7,139,8.0
114,TURQ_BESS1,523.86325,286.4125,237.45074999999997,16.68804347826087,13.108586956521739,0.6171844267598344,0.01956521739130435,38.6,-58.6,92,188.0
115,BRP_LOOP_RN,503.7832500000008,1238.9375000000005,-735.15425,30.447887323943664,12.072605633802816,0.03795396901670688,28.85211267605634,6874.6,-2865.6,142,9.9
116,FRMRSVLW_RN,482.41299999999984,-461.64900000000006,944.0619999999999,33.685106382978724,16.01886524822695,-0.6095204681518823,3.0815602836879434,490.7,-545.2,141,9.9
117,RN_QTUM_SLR,466.5425000000001,28.3475,438.1950000000001,4.0625,3.15640625,-0.11719866071428572,0.0,4.6,-200.0,64,0.0
118,MIDP_SLR_RN,443.8882499999993,-981.1045000000006,1424.99275,33.65555555555555,15.821805555555557,-0.0533520780236467,1.7999999999999998,2358.1,-780.7,144,50.9
119,CTW_RN,440.7382,1245.3114,-804.5732000000002,31.74822695035461,7.5890780141843965,0.6529472956024949,0.5120567375886526,2037.5,-676.3,141,150.0
120,PLATINUM_RN,438.59600000000006,-56.11649999999992,494.71250000000003,24.15684210526316,16.60978947368421,-0.9253877677147413,0.2136842105263158,330.8,-433.0,95,151.7
121,MESQUITE_RN,434.0405,1222.84975,-788.80925,21.12222222222222,11.517878787878788,0.4384190035430009,29.014141414141417,2493.8,-4328.5,99,0.0
122,PRCRK_RN,403.53724999999974,-707.9475,1111.4847499999998,28.396350364963507,13.752700729927007,-0.06319351671746744,5.786131386861314,263.0,-1623.4,137,9.9
123,BKSL_RN,395.6912499999995,4184.77325,-3789.082,33.953146853146855,14.515454545454546,0.6944867083087378,1.7580419580419582,2233.4,-3845.7,143,100.0
124,TYNAN_RN,365.26475000000045,882.3637500000002,-517.0989999999997,31.33093525179856,14.853381294964027,-0.19844087797190174,8.00863309352518,1820.0,-821.2,139,9.9
125,ELZA_SLR_RN,364.51255000000015,-351.21600000000007,715.72855,33.77272727272727,9.719300699300698,-0.11438793399315529,0.486013986013986,1154.7,-713.1,143,100.0
126,TDWLPR_1_RN,357.47100000000006,-60.861499999999815,418.33249999999987,46.684285714285714,31.503999999999998,-0.6019928619991118,1.5657142857142856,1851.4,-785.0,70,100.0
127,GAIA_SLR_RN,310.6400000000001,789.8075,-479.1674999999999,11.12051282051282,5.287820512820512,0.1347485708735708,0.32564102564102565,244.0,-257.0,78,0.0
128,CARTWHL_RN,279.96574999999996,-826.4542500000002,1106.42,11.048571428571428,8.618142857142857,-0.541703798185941,0.7557142857142857,256.9,-1552.0,70,150.0
129,GOODWIN_ESR,264.2149999999996,3738.9945000000002,-3474.7794999999996,26.285714285714285,6.842499999999999,0.18520947783507957,46.72714285714286,10164.0,-1134.9,140,9.9
130,PAD1_ESS_RN,257.40000000000003,230.69250000000002,26.707500000000003,10.467532467532468,5.3441558441558445,0.6901358631447915,0.15844155844155847,104.0,-31.0,77,50.0
131,LYNX_ESS_RN,239.56425,197.81349999999998,41.75075,75.0,74.99249999999999,8.346875,0.0,10.6,-5.3,4,0.0
132,HEADCAMP_RN,233.47875000000002,165.27675,68.20200000000001,3.515873015873016,1.7731746031746032,-0.24546351410934744,0.11587301587301588,152.6,-127.2,63,150.0
133,SADLBACK_RN,154.97825000000006,142.07275000000013,12.905499999999993,30.855797101449276,19.309855072463765,-0.6986209767486937,3.265217391304348,162.8,-910.8000000000001,138,9.9
134,FALFUR_RN2,123.73775,191.8745,-68.13675,3.076923076923077,1.5592307692307692,0.21885256410256412,5.047692307692308,745.1,-31.0,65,9.8
135,MESQUITE_RN2,89.42725000000002,323.05625,-233.629,13.438749999999999,7.6659999999999995,0.254744302312271,0.0,1402.8,-464.3,80,0.0
136,AVIL_ESS_RN,77.03624999999995,-242.33725000000004,319.3734999999999,27.512698412698413,16.491587301587302,-1.3105201295212259,0.10634920634920635,137.4,-436.7,126,160.0
137,RTLSNAKE_BT,74.73650000000009,185.43525,-110.69874999999995,29.504615384615384,21.023153846153843,1.4209602574508824,2.663846153846154,177.2,-643.9,130,9.9
138,HDNLAKES_RN,53.66525000000003,-105.32349999999994,158.98875,59.099999999999994,40.400277777777774,0.8436419072258533,0.0,108.3,-62.9,36,0.0
139,GODY_SLR_RN,40.445,0.2324999999999999,40.2125,2.956451612903226,1.6411290322580645,0.035604838709677414,0.0,60.0,-30.0,62,0.0
140,APPLE_RN,28.109999999999957,0.0,28.109999999999957,42.22,33.54066666666667,0.0,0.0,0.0,-60.0,15,0.0
141,SAH_RN,3.451499999999992,3.451499999999992,0.0,100.0,99.99,0.442499999999999,0.2,7.8,0.0,1,200.0
142,Z0_DGR2_RN,1.0999999999999996,1.0999999999999996,0.0,1.639344262295082,1.6391803278688524,-0.28840163934426233,0.39344262295081966,60.0,0.0,61,9.9
143,HNY_COMB_RN,0.0,0.0,0.0,0.0,0.0,-0.014426229508196733,0.0,0.0,0.0,61,61.5
144,KEG_RN,0.0,0.0,0.0,0.0,0.0,0.03329166666666664,0.0,0.0,0.0,60,0.0
145,ELM_ST_RN2,0.0,0.0,0.0,0.0,0.0,-0.2187090163934426,0.0,0.0,0.0,61,9.9
146,RN_PAD3_ESS,0.0,0.0,0.0,0.0,0.0,-0.43782258064516133,0.0,0.0,0.0,62,0.0
147,HEN_RN,-2.360499999999984,-2.360499999999984,0.0,1.5873015873015872,1.587142857142857,-0.03533730158730158,0.04444444444444444,13.8,0.0,63,20.0
148,ALAMO_ST_RN,-4.711499999999999,3.4335,-8.145,1.639344262295082,1.6391803278688524,-0.12012295081967213,0.0,4.2,-60.0,61,0.0
149,RN_BY_ESR1,-21.606749999999863,-650.2137499999998,628.6069999999999,14.28202247191011,3.8053932584269665,-0.33157726470177884,129.2426966292135,822.9,-3017.7,89,9.9
150,APPLE_ESR_RN,-31.22249999999999,0.0,-31.22249999999999,0.0,0.0,-0.684206349206349,0.0,0.0,-4.6,63,0.0
151,DESN_ESS_RN,-44.837500000000006,-44.837500000000006,0.0,0.0,0.0,-8.967500000000001,0.1,5.0,0.0,1,200.0
152,PEARSALL_RN,-63.64924999999984,-576.40075,512.7515,22.752830188679248,15.03066037735849,-0.28826655622941,7.118867924528302,1417.7,-327.4,106,9.0
