node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
AMAD_ESS_RN,3540.9300000000003,2794.55325,746.37675,109.0,846.3,-1145.6,100.0,79
BRP_BRAZ_RN,3455.8378999999995,3178.4236499999997,277.4142499999999,105.0,448.4,-716.4,10.0,80
BRP_SWNY_RN,3108.4535000000005,3171.262250000001,-62.80874999999999,70.0,201.7,-147.5,10.0,81
DIBOL_RN,3089.9269999999997,294.1977499999998,2795.7292500000003,155.0,465.90000000000003,-1095.7,9.9,82
SGSA_DGR,2962.0122499999998,-136.40050000000002,3098.4127499999995,150.0,59.3,-2226.1,9.9,83
MV_VALV4_RN,2497.158050000001,-328.90949999999975,2826.0675499999998,181.0,3076.1,-3553.1000000000004,9.9,84
LMO_ESR_RN,2496.5710000000004,-496.04849999999993,2992.6195000000002,184.0,410.5,-2461.7,100.0,85
MIDP_SLR_RN,2304.7839999999997,1564.0907499999992,740.69325,181.0,2837.7,-1172.6,50.9,86
TANZ_ESS_RN,2179.3497600000005,714.0117500000001,1465.33801,170.0,796.3,-2539.2000000000003,128.8,87
JAR_RN,2145.3724999999995,2810.5817500000003,-665.2092500000001,181.0,1224.5,-2835.8,156.0,88
ELMCRK_RN,2143.21925,941.9449999999998,1201.2742499999997,108.0,1761.6,-4554.0,9.9,89
CNTRY_RN,1993.8364999999994,-3850.4092499999997,5844.24575,171.0,1584.3000000000002,-2436.2,9.8,90
LONESTAR_RN,1990.4655500000013,16.981300000000108,1973.4842500000013,169.0,122.69999999999999,-2234.7,9.9,91
POTEETS_RN,1973.53175,2030.7455000000004,-57.21374999999989,181.0,3807.8,-2596.4,9.9,92
OLNEYTN_RN,1800.6220000000012,-3486.678499999999,5287.3005,178.0,3702.8999999999996,-2011.4,9.9,93
ANOL_ESS_RN,1590.4385000000002,569.8625,1020.576,167.0,943.5,-6971.0,240.0,94
TYNAN_RN,1524.1115000000004,1389.4677500000003,134.64375000000018,167.0,1933.7,-1190.9,9.9,95
