node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
BATCAVE_RN,50678.88414,48348.94993999999,2329.9341999999997,199,100.5,44.174371859296485,9.899246231155779,54203.3,-8141.3,26
STADIUM_RN,37250.7151,16799.273100000002,20451.442,176,9.9,39.80568181818182,10.068011363636364,10282.7,-4179.7,27
RRC_WIND_ALL,35641.14727,23039.45627,12601.690999999997,200,75.0,40.361,10.1177,32246.7,-2460.5,28
WOV_BESS_RN,35520.96333,1349.1795800000011,34171.783749999995,199,9.9,42.119597989949746,14.501959798994974,18297.0,-19417.7,29
ANG_ALL,34573.2815,10228.821500000002,24344.46,200,81.0,40.792,14.197000000000001,160088.0,-11829.2,30
HV_BESS1_RN,28363.20617,28211.013250000004,152.19291999999984,200,9.9,36.04,8.7983,23060.8,-2090.1,31
JADE_SLR_ALL,27591.353269999996,36237.196359999994,-8645.843090000002,200,81.9,39.5745,10.28365,40845.2,-5305.7,32
AZURE_RN,25844.07647,37089.74689,-11245.670419999999,200,77.6,40.0385,9.7854,15333.7,-5875.8,33
SHEEPCRK_1,22440.230760000002,26833.83976,-4393.609,200,135.0,40.2835,10.3156,26982.8,-3511.1,34
MIDWY_RN,20541.56463,-22.520199999999864,20564.08483,199,0.0,41.27185929648241,19.947738693467336,688.0,-20562.4,35
MYR_ALL,20340.4578,13988.000799999998,6352.457,195,75.6,35.013333333333335,12.177692307692308,5386.7,-2250.6,36
BRP_PBL2_RN,19927.35225,-1818.6572500000002,21746.0095,80,9.9,49.30375,32.12325,190.0,-1012.8,37
KNAPP_RN,18042.772249999995,3619.0574999999994,14423.71475,196,0.0,44.56020408163265,19.531530612244897,6822.0,-13223.1,38
BRP_RN_UNIT1,16503.3105,12885.8815,3617.4290000000005,199,9.9,42.41909547738693,15.809899497487438,15083.1,-3751.0,39
BYP_RN,16259.902749999992,-13418.1535,29678.056249999994,156,0.0,30.978846153846153,48.598076923076924,42875.3,-54023.1,40
FLVABES1_ESR,13232.041500000001,11368.899749999999,1863.1417500000005,200,9.9,40.6655,18.903049999999997,1874.8,-2727.0,41
BCNV_RN,12003.29897,6953.77225,5049.52672,95,150.0,50.55157894736842,20.231473684210528,1832.0,-1494.8,42
X443ESRN,11505.49607,10355.196820000001,1150.2992499999993,196,10.0,38.66734693877551,16.800459183673468,4834.7,-851.9000000000001,43
TRIPBUT1_RN,11060.20541,12098.09891,-1037.893500000001,200,7.5,37.4805,13.860549999999998,1802.1000000000001,-13923.9,44
