rank,node,net_revenue,offer_revenue,bid_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
125,FERD_ESS_RN,-292.6950000000001,1107.3175,-1400.0124999999998,175.0,-393.0,24.369747899159663,34.29333333333333,24.367310924369747,21.40233333333333,0.049999999999999996,0.15626006652661065,200.0,36.0
126,LIGSW_RN,-324.3925000000001,220.39974999999993,-544.7922499999997,837.6,-1847.8999999999999,39.21680672268907,48.003125,1.6679411764705883,10.490260416666668,4.857563025210084,1.605636379551821,9.8,198.0
127,RN_RHN_ESR,-425.3185,-487.50300000000004,62.18449999999993,624.9,-1085.3,22.957142857142856,39.83326446280992,0.7421008403361344,14.609290633608811,0.5079831932773109,0.29422137605042015,0.0,127.0
128,HEN_RN,-463.1654999999998,34.874500000000026,-498.03999999999996,42.2,-173.0,37.226890756302524,9.323878205128205,31.953739495798317,3.9689423076923074,0.07857142857142858,0.11012955182072826,20.0,110.0
129,CEDRVALE_RN,-544.9407500000003,381.48699999999997,-926.4277500000003,346.2,-1903.5,30.4281512605042,43.12805410122164,5.245210084033614,12.611474694589877,9.359243697478991,-0.5280505952380952,8.2,197.0
130,SAH_RN,-570.2135,-53.041000000000025,-517.1725,49.3,-181.0,9.717226890756303,12.305813953488371,0.34054621848739497,8.27093023255814,0.12184873949579833,-0.05667717086834728,200.0,49.0
131,ANOL_ESS_RN,-627.7921600000003,471.04384000000005,-1098.836,1200.3999999999999,-7127.200000000001,39.74033613445378,47.36857923497268,2.020924369747899,11.091639344262294,0.2,1.619858630952381,240.0,189.0
132,DA_BESS2,-677.5730000000001,-437.19750000000005,-240.3755,277.4,-403.1,33.333333333333336,19.652272727272727,33.33,7.840965909090909,0.3735294117647059,0.8418545751633991,5.0,93.0
133,LK_RN,-682.0732499999998,-1231.6570000000004,549.5837500000001,330.8,-728.5,26.99285714285714,39.097169811320754,14.366428571428571,11.076462264150942,0.0,-0.038351278011204484,0.0,59.0
134,HLY_RN,-729.9867999999999,-1438.4220000000003,708.4352000000001,1442.5,-2237.4,36.98025210084033,46.1765625,17.43449579831933,19.527552083333333,1.0487394957983194,-0.09729779411764708,102.2,198.0
135,MYRY_ESR_RN,-732.9754999999998,112.27775000000005,-845.2532499999999,440.1,-278.6,7.70546218487395,13.531382978723403,3.313025210084034,7.438829787234042,0.2714285714285714,-0.03112307422969184,9.9,194.0
136,RTLSNAKE_BT,-768.64483,171.67774999999995,-940.32258,366.20000000000005,-1506.3,35.23781512605042,41.6698087431694,16.5340756302521,11.77792349726776,7.809243697478992,0.06120141806722688,9.9,189.0
137,DA_BESS,-947.62191,895.4163400000001,-1843.0382500000003,689.8000000000001,-1155.5,35.45336134453781,47.109959349593495,6.6244957983193276,13.028983739837397,2.599159663865546,-0.01482843137254905,5.0,129.0
138,HARLIN_1_RN,-993.5062499999996,460.6182499999998,-1454.1245000000004,4448.1,-3094.5,23.252100840336134,35.12377622377622,2.115252100840336,11.627062937062938,0.0,-0.2399457282913165,0.0,149.0
139,WLTC_ESR_RN,-1014.92083,-217.8905799999999,-797.03025,670.6999999999999,-691.9000000000001,32.40588235294118,45.716796875,2.732100840336135,32.2628125,4.449999999999999,-0.5981004901960784,9.9,134.0
140,KEG_RN,-1020.2424999999998,-385.3725000000001,-634.8699999999999,222.0,-1006.0,32.142857142857146,19.03921568627451,7.556470588235293,1.3815686274509804,4.544117647058823,-0.023053221288515433,0.0,108.0
141,ALP_BESS_RN,-1056.8659100000004,2098.71509,-3155.5809999999997,2191.8,-8939.6,39.563025210084035,43.84497487437186,5.012563025210084,6.900159128978223,1.5071428571428571,-1.823149509803922,100.3,205.0
142,HEARN_RD_RN,-1057.4524099999987,966.6975899999989,-2024.1499999999999,22146.7,-2139.1,31.63823529411765,42.01537800687285,6.047352941176471,44.99603092783504,52.133613445378145,-0.40207851890756297,0.0,200.0
143,MYRY_BES2_RN,-1082.26064,-36.09838999999988,-1046.16225,1684.9,-989.3000000000001,28.416806722689074,48.75869829683698,3.303361344537815,8.392402676399024,17.792857142857144,-0.9038327205882353,9.9,143.0
144,RBN_BESS1,-1185.7860000000007,912.3237499999998,-2098.10975,1143.0,-2040.0,35.72268907563026,43.78773996509599,4.918067226890756,10.666797556719022,1.0235294117647058,0.6254157913165268,100.0,197.0
145,ELZA_SLR_RN,-1251.0421999999999,-1925.2647500000007,674.2225500000002,2329.7,-1559.6999999999998,37.80252100840336,47.57333333333334,2.4919327731092435,8.357807692307691,0.9058823529411765,1.920190826330532,100.0,201.0
146,TNFS_RN,-1330.3565,-1080.1715,-250.185,171.2,-29.0,20.168067226890756,12.916666666666668,20.166050420168066,12.149880952380952,0.2781512605042017,-0.15717524509803926,9.9,111.0
147,PAULN_RN,-1344.8047499999996,-1155.1817499999997,-189.62299999999965,1706.5,-1590.8,39.46134453781512,47.8729797979798,5.712226890756303,17.596489898989898,9.882773109243697,1.559730829831933,9.9,204.0
148,CNTYRDS_RN,-1351.8497499999999,-1306.848,-45.00174999999979,1697.8,-14563.7,32.68865546218487,33.07797619047619,20.32936974789916,15.10945238095238,16.67563025210084,-0.3460280987394957,0.0,146.0
149,ELM_ST_RN,-1381.0817499999994,-433.18324999999993,-947.8984999999991,1164.5,-12578.9,29.87857142857143,31.74328537170264,10.334789915966386,25.844244604316543,15.414705882352944,-0.4082856267507003,0.0,145.0
150,DKNS_ESS_RN,-1401.8275,1421.8125000000002,-2823.64,859.3,-1102.4,25.84033613445378,47.08293650793651,24.376722689075628,28.03873015873016,0.14873949579831933,0.11091736694677866,50.0,132.0
151,LOWR_ESS_RN,-1404.5003399999996,-2543.39509,1138.8947500000004,1040.7,-4687.2,31.092436974789912,31.73677536231884,1.4321008403361344,7.898297101449274,2.472268907563025,-0.5282361694677871,60.0,190.0
