rank,node,offer_revenue,bid_revenue,net_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
116,PAD2_ESS_RN,-67.14249999999997,175.1475,108.00500000000002,20.0,-53.0,8.256302521008404,0.0,1.735798319327731,0.0,0.06861344537815124,0.13630681022408966,150.0,44.0
117,FALFUR_RN2,371.83600000000007,-292.487,79.34900000000003,784.5,-76.89999999999999,23.03921568627451,25.250728155339807,22.35904411764706,24.88731310679612,0.35490196078431374,3.5529446486928102,9.8,112.0
118,HDNLAKES_RN,-105.32349999999995,158.98875,53.66525000000003,108.3,-62.9,,59.1,,40.400277777777774,,,0.0,36.0
119,APPLE_RN,0.0,28.109999999999985,28.109999999999985,0.0,-60.0,,42.22,,33.54066666666667,,,0.0,15.0
120,CLT_RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7089865196078433,100.0,5.0
121,GUNR_RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1666,150.0,5.0
122,DRAK_ESS_RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10295373774509792,150.0,43.0
123,HNY_COMB_RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6464746323529409,61.5,103.0
124,BIRD_ESR1,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,7.0
125,RVN_RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3250848651960785,0.0,5.0
126,C5_RN,0.0,-2.067499999999999,-2.067499999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.14485416666666662,0.0,5.0
127,RN_BY_ESR1,-1187.1522499999999,1176.6029999999996,-10.549250000000228,1090.7,-3945.3,30.514873949579833,35.89511904761905,9.396512605042016,3.055892857142857,0.0,0.21244905462184877,9.9,151.0
128,LEAKEY_RN,-29.674999999999976,15.3975,-14.277499999999957,54.0,-418.0,31.030672268907562,18.0,5.012298319327731,1.244,0.0,-0.027572435224089586,0.0,13.0
129,ALAMO_ST_RN,-73.42475000000006,43.46800000000001,-29.956750000000056,112.5,-75.3,23.708739495798323,16.42357142857143,8.902378151260505,2.2095,2.9946638655462183,-0.19596988795518208,0.0,116.0
130,DESN_ESS_RN,156.01249999999996,-212.9245,-56.91199999999999,33.4,-70.2,49.32773109243698,34.64673913043478,49.322798319327724,32.7645,0.0307142857142857,0.09356919642857137,200.0,57.0
131,HEN_RN,388.9245,-470.21250000000003,-81.28799999999978,102.0,-179.0,47.70344537815126,33.7519391025641,44.785869747899156,30.793471153846152,0.21928571428571425,0.4875543592436975,20.0,115.0
132,GAIA_SLR_RN,745.8220000000001,-1006.4150000000002,-260.59300000000013,661.6,-566.0,45.564579831932775,39.00489071038251,14.364331932773108,2.447075136612022,0.51890756302521,0.48175730917366955,0.0,133.0
133,LIGSW_RN,236.13124999999997,-527.8887499999997,-291.7575000000001,860.1,-1887.1000000000001,50.368403361344534,54.7615625,1.7089705882352941,6.120130208333334,5.048781512605042,1.6356515231092437,9.8,203.0
134,LK_RN,-1214.0592500000005,820.4735000000001,-393.5857499999998,334.7,-848.8,49.75642857142857,55.80858490566038,10.576214285714286,8.931231132075471,0.0,0.1563035276610645,0.0,64.0
135,RN_RHN_ESR,-487.09799999999996,75.29949999999992,-411.7985,657.6,-1099.3,39.39857142857143,47.83663223140496,20.510050420168067,27.443645316804407,0.3439915966386554,0.3568190213585434,0.0,132.0
136,RTLSNAKE_BT,171.67774999999995,-673.01258,-501.3348299999999,366.2000000000001,-1530.8,45.61890756302521,48.8349043715847,29.535037815126046,27.156961748633876,4.934621848739496,0.36650695903361336,9.9,194.0
137,MYRY_BES2_RN,201.82286000000013,-737.715,-535.8921399999999,1714.8000000000002,-1025.3999999999999,48.88840336134454,59.05934914841849,6.498680672268907,9.043201338199513,11.676428571428573,2.30893780637255,9.9,148.0
138,SAH_RN,-34.54600000000002,-517.1725,-551.7185,51.3,-181.0,14.858613445378152,16.152906976744184,10.169273109243695,14.134465116279069,0.06092436974789915,0.03099474789915977,200.0,54.0
139,HLY_RN,-1504.3917500000005,852.4652000000001,-651.9265499999999,1453.8,-2268.9,47.16012605042016,51.758281249999996,31.75624789915966,32.80277604166666,0.6943697478991597,0.0791011029411765,102.2,203.0
140,DA_BESS2,-426.8032500000001,-250.64049999999997,-677.4437500000001,280.5,-407.1,24.99666666666667,18.156136363636364,18.517,5.772482954545454,0.48676470588235293,1.4688647875817,5.0,98.0
141,HARLIN_1_RN,476.6982499999998,-1200.4892500000003,-723.7909999999995,4449.1,-3173.4,38.766050420168064,44.70188811188811,2.549626050420168,7.305531468531469,0.0,0.2055063025210084,0.0,154.0
142,MYRY_ESR_RN,111.93275000000004,-847.2857499999999,-735.3529999999998,441.1,-279.6,3.852731092436975,6.765691489361702,1.656512605042017,3.719414893617021,0.2157142857142857,0.29090721288515403,9.9,199.0
143,DA_BESS,941.4683400000001,-1678.5200000000002,-737.0516599999999,709.4000000000001,-1226.8,51.14668067226891,56.97497967479675,5.309247899159664,8.511491869918698,8.879579831932773,1.2301378676470591,5.0,134.0
144,CNTYRDS_RN,-1249.472,459.4585000000002,-790.0135000000001,1730.5,-14618.0,49.18432773109243,49.37898809523809,24.40368487394958,21.79372619047619,11.99781512605042,-0.09312863270308121,0.0,151.0
145,RBN_BESS1,974.7837499999998,-1851.0520000000001,-876.2682500000008,1163.6,-2152.2,50.881344537815124,54.91386998254799,4.465033613445378,7.339398778359511,1.071764705882353,1.5671141456582636,100.0,202.0
146,KEG_RN,-385.66000000000014,-582.5049999999999,-968.1649999999998,224.0,-1074.0,43.84142857142857,37.289607843137254,14.384235294117646,11.29678431372549,3.8520588235294118,0.16608797268907555,0.0,113.0
147,ELZA_SLR_RN,-1804.3315000000007,815.4870500000002,-988.84445,2437.7,-1614.6999999999998,48.63126050420168,53.516666666666666,2.034966386554622,4.967903846153845,1.1429411764705883,1.805637079831933,100.0,206.0
148,ANOL_ESS_RN,536.5430900000001,-1539.879,-1003.3359100000001,1220.3000000000002,-7173.800000000001,50.73016806722689,54.54428961748634,2.5144621848739495,7.049819672131147,0.21000000000000002,1.9195543154761903,240.0,194.0
149,WLTC_ESR_RN,-217.8905799999999,-786.71775,-1004.60833,670.6999999999999,-701.1000000000001,43.70294117647059,50.3583984375,14.962050420168065,29.72740625,2.5949999999999998,-0.2801752450980392,9.9,139.0
150,PAULN_RN,-1074.5152499999995,-131.35199999999963,-1205.8672499999996,1741.6,-1605.0,51.45067226890756,55.6564898989899,6.076113445378152,12.01824494949495,7.021386554621848,1.9095945815826332,9.9,209.0
151,TNFS_RN,-1058.3004999999998,-176.99575,-1235.29625,230.29999999999998,-36.3,25.22403361344538,21.598333333333336,10.378025210084031,6.369940476190476,2.929075630252101,-0.18021262254901957,9.9,116.0
152,DKNS_ESS_RN,1424.9100000000003,-2679.3709999999996,-1254.461,860.3,-1162.9,41.67016806722689,52.291468253968254,32.45236134453781,34.28336507936508,0.5843697478991596,0.1550524334733893,50.0,137.0
153,OR_BESS_RN,108.72140999999996,-1385.0592500000007,-1276.33784,544.0,-756.1,42.37172268907563,45.00278735632184,80.924256302521,79.12821264367815,4.104663865546219,0.3955726540616247,9.9,185.0
154,LOWR_ESS_RN,-2662.72909,1261.0670000000005,-1401.6620899999996,1114.4,-4726.4,50.06621848739495,50.388387681159415,8.821050420168067,12.054148550724637,2.0261344537815122,1.5920589985994398,60.0,195.0
155,ELM_ST_RN,-607.1895,-798.1772499999992,-1405.3667499999992,1177.0,-12596.4,37.019285714285715,37.951642685851326,19.174394957983193,26.92912230215827,8.967352941176472,-0.21343448004201682,0.0,150.0
156,GOMZ_RN,-898.96561,-563.5725000000004,-1462.53811,475.59999999999997,-1577.3000000000002,48.81420168067227,53.48688596491228,4.318168067226891,6.427399122807017,5.426428571428572,1.5768553921568627,9.9,201.0
157,FAULKNER_RN,-527.348,-959.6036200000001,-1486.9516200000003,80.1,-1338.2,40.91873949579832,54.743991507431005,19.353936974789917,32.583681528662424,2.535588235294118,0.38586795343137265,9.9,168.0
158,PEARSALL_RN,-1981.6327,488.2812500000001,-1493.35145,2115.0,-899.1,46.905168067226896,49.303827160493825,18.52424789915966,30.897462962962962,8.414411764705882,-0.03230317752100846,9.0,173.0
159,BYRDR_ES_ALL,-1457.6315,-82.2575,-1539.8889999999997,877.9,-116.2,19.97247899159664,15.03316091954023,15.853903361344539,8.436390804597702,0.867436974789916,0.20024352240896365,50.0,156.0
160,ALP_BESS_RN,1723.6235900000001,-3271.0934999999995,-1547.4699100000003,2267.6000000000004,-9339.0,53.83151260504202,55.972487437185926,4.007281512605042,4.9510795644891115,2.7235714285714288,-2.275553921568628,100.3,210.0
161,LYNX_ESS_RN,-1909.46175,327.9482500000001,-1581.5134999999996,573.6,-301.0,43.61344537815126,49.73482142857142,38.69858403361344,39.36288988095238,0.29159663865546215,0.23848236169467782,0.0,67.0
162,NEDIN_RN,-1343.13375,-360.67725000000013,-1703.811,558.0,-2009.1,34.59432773109244,33.85839598997494,28.797936974789913,22.606815789473682,0.0,0.16766320903361343,0.0,144.0
163,TURQ_BESS1,-1579.2928999999997,-215.51174999999998,-1794.80465,1233.7000000000003,-422.1,46.721638655462186,53.66752283105023,3.246424369747899,13.410163242009133,0.4152100840336135,0.8364940476190478,188.0,157.0
164,ENDPARK_ESS1,-604.9942499999997,-1327.85925,-1932.8534999999993,4025.4,-3144.0000000000005,45.438529411764705,49.84573701842545,2.8305252100840335,4.949315326633165,4.326260504201681,1.450090773809524,50.0,210.0
165,RIOG_ESR2_RN,1842.2905700000003,-3852.4905,-2010.1999299999998,1129.7,-4764.7,56.640462184873954,55.3377183600713,12.083995798319327,7.676291443850267,5.736050420168067,3.1052710521708686,7.0,198.0
166,SBEAN_BESS,-723.65358,-1526.3235000000002,-2249.9770800000006,167.1,-874.2,50.82331932773109,44.9983428030303,29.89502521008403,24.817814393939393,1.8295798319327732,0.3600469187675073,6.6,187.0
167,WR_RN,-878.4260899999999,-1403.6544999999999,-2282.08059,618.3000000000001,-259.0,51.269915966386556,57.544746376811595,1.9941512605042018,7.470826086956523,2.873655462184874,1.202545737044818,9.8,126.0
168,CARA_ESS_RN,14.083999999999982,-2298.71725,-2284.63325,107.9,-297.7,25.759579831932772,31.651744548286604,14.350420168067226,23.032126168224295,0.44932773109243695,0.2657047006302521,98.3,118.0
169,PAVLOV_BT_RN,-1583.6230899999998,-882.6878999999999,-2466.310990000001,2533.5,-6303.5,50.892773109243706,58.698421273031826,5.911306722689075,8.970190954773868,12.300672268907563,0.9652991509103641,9.9,210.0
170,SADLBACK_RN,-726.5264999999998,-1793.5634999999997,-2520.09,1677.5,-2390.2,47.85743697478991,52.957530224525044,15.82039075630252,18.439391623488774,17.42768907563025,1.504626663165266,9.9,204.0
171,PIN_BESS_RN,-462.51575,-2144.1900499999997,-2606.7058000000006,2171.4,-11831.8,46.90966386554622,47.51312949640288,7.74994537815126,8.887168465227818,0.5471428571428572,0.33021800595238093,0.0,150.0
172,CHISMGRD_RN,-67.21275,-2601.8987500000003,-2669.1115000000004,48.3,-905.2,,64.14285714285714,,30.290571428571425,,,0.0,35.0
173,MESQUITE_RN,-1993.833,-800.4504999999996,-2794.2835,3943.1000000000004,-6909.1,52.507100840336136,49.38086021505376,23.381995798319327,26.19643279569892,8.665966386554622,0.3542918855042017,0.0,166.0
174,VERT_ESS_RN,-3749.689,921.6560000000002,-2828.0330000000004,171.20000000000002,-104.3,38.224621848739496,46.59343749999999,14.601466386554621,21.3955,0.15575630252100842,0.6483880864845938,200.0,59.0
175,CITRUSCY_RN,-1440.6719300000004,-1561.50975,-3002.1816799999997,1063.3999999999999,-754.3000000000001,46.941092436974785,53.26340909090909,2.4256890756302525,4.345858734402852,3.9978151260504204,2.15391137079832,9.9,198.0
176,FLTBES1,77.97099999999979,-3150.8795,-3072.9085000000005,1286.3,-1998.0,38.86058823529412,55.09533854166666,14.673441176470588,26.980526041666664,17.77827731092437,0.0566354166666667,8.5,203.0
177,SLK_BESS_RN,-11444.45095,8369.963999999998,-3074.4869500000004,648.8,-1640.6,42.37819327731092,47.93231884057971,35.263806722689075,40.5004420289855,3.3899999999999997,0.2612311799719888,200.0,57.0
178,CARN_ESS_RN,3497.8453400000003,-6630.402749999999,-3132.55741,3867.1,-7307.2,50.41962184873949,56.00438240270727,3.528134453781513,7.002158629441624,0.8380672268907562,1.4443384103641457,150.0,208.0
179,ESTONIAN_ALL,1308.14975,-4456.694750000001,-3148.544999999999,4897.9,-2616.9,51.14151260504202,54.63159475465313,2.0680966386554624,4.0470964467005075,2.335588235294118,1.6227703956582633,101.6,208.0
180,BRPANGLE_RN,-224.07640999999992,-2953.1387500000005,-3177.2151599999997,2832.1,-1756.1999999999998,51.32689075630252,53.63388888888889,34.00173949579832,15.438777777777776,4.728361344537815,0.21668811274509805,9.9,191.0
181,ABINDUST_RN,297.2687499999999,-3504.39525,-3207.1265,928.9,-3933.6000000000004,47.48096638655462,52.124282700421944,4.178638655462184,11.407395569620252,14.243865546218487,-0.09064679621848742,9.9,169.0
