rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
43,X443ESRN,11564.678319999999,10452.618569999999,1112.0597499999992,202,10.0,44.550340136054416,12.653562925170068,4894.3,-859.1000000000001
44,FENCESLR_ALL,10968.70918,12555.671249999998,-1586.96207,205,71.0,50.33764656616415,7.524572864321608,6707.1,-7092.9
45,TRIPBUT1_RN,10783.186160000001,11984.37241,-1201.186250000001,206,7.5,42.63191666666667,7.247774999999999,1829.1,-14001.1
46,NOBLESLR_ALL,10635.934840000002,26047.634940000004,-15411.7001,206,62.5,46.86058333333334,5.030866666666666,260907.19999999998,-14281.900000000001
47,CAST_ESS_RN,9066.551749999999,316.57899999999995,8749.972749999997,113,200.0,43.67585669781932,33.576160436137066,110.6,-798.4
48,LYSSY_RN,7912.7945,9888.634,-1975.8395000000005,204,9.9,45.82777777777778,13.110984848484849,21753.5,-2973.1
49,LON_RN1,7538.5645,6832.73975,705.8247499999995,206,174.0,45.749833333333335,7.8542000000000005,5983.5,-2219.9
50,BUDA_RN,7471.05525,-1561.7855000000004,9032.84075,170,0.0,44.983434959349594,5.753373983739837,5883.2,-2833.3
51,MEDILA_RN,7432.579070000009,6034.957069999995,1397.6220000000003,204,9.9,46.92878787878789,6.848686868686868,19363.5,-1768.6000000000001
52,BOCO_ESS_RN,7377.461160000001,6017.87766,1359.5835,206,150.0,44.78966666666666,7.1255500000000005,4182.5,-3860.7
53,JC_BAT_RN,7229.96209,6677.84234,552.1197499999998,199,1.7,35.94883419689119,17.478359240069082,3759.7999999999997,-356.2
54,EMPCT_RN,6845.9442500000005,781.6362500000002,6064.308000000001,196,9.9,47.596842105263164,19.272964912280703,825.3,-3301.3
55,PIRATE_RN,6742.753909999999,8699.640159999999,-1956.8862499999998,204,7.0,43.45151515151515,15.151313131313131,23649.5,-2945.5
56,LUCKYBLU_RN,5367.18325,2339.997,3027.18625,188,100.0,54.38397435897436,26.36482600732601,3711.4,-7648.8
57,TORR_ALL,4966.008500000002,9123.574000000013,-4157.565499999998,206,0.0,40.60291666666666,3.272841666666667,90185.3,-15848.8
58,ODESW_RN,4799.054709999999,-14043.382290000001,18842.437,203,9.9,45.376269035533,11.695824873096448,3775.5,-29957.600000000002
59,POTSVIL_RN,4717.128280000003,-372.625499999996,5089.753779999999,205,9.9,44.87587939698492,8.423128140703518,20659.1,-29651.9
